Sample_Name,Pig,Diet,Time_Point,Diet_By_Time_Point,Acidobacteria,Actinobacteria,Apicomplexa,Aquificae,Ascomycota,Bacillariophyta,Bacteroidetes,Basidiomycota,Candidatus Poribacteria,Chlamydiae,Chlorobi,Chloroflexi,Chlorophyta,Chrysiogenetes,Crenarchaeota,Cyanobacteria,Deferribacteres,Deinococcus-Thermus,Dictyoglomi,Elusimicrobia,Euryarchaeota,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Hemichordata,Korarchaeota,Lentisphaerae,Microsporidia,Nanoarchaeota,Nematoda,Nitrospirae,Placozoa,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thaumarchaeota,Thermotogae,Verrucomicrobia,unclassified (derived from Bacteria),unclassified (derived from Eukaryota),unclassified (derived from Viruses),unclassified (derived from other sequences)
ShotgunWGS-ControlPig10GutMicrobiome-Day0,10,Control,Day 0,Control Day 0,7.65E-04,0.040119653,5.67E-05,2.93E-04,3.77E-04,3.41E-05,0.481374465,6.28E-05,3.68E-06,1.03E-04,0.001255204,0.001478357,6.87E-05,5.16E-05,1.30E-04,0.001916562,2.16E-04,6.18E-04,2.02E-04,1.45E-04,0.002470639,0.001814928,0.434748272,0.002927747,4.52E-05,1.96E-06,1.52E-05,1.73E-04,1.45E-05,1.23E-06,3.61E-05,1.02E-04,1.35E-05,3.04E-04,0.020667544,0.002605415,7.01E-04,6.41E-04,1.33E-05,1.00E-03,0.001099562,3.77E-04,3.34E-04,6.17E-04,4.66E-06
ShotgunWGS-ControlPig7GutMicrobiome-Day0,7,Control,Day 0,Control Day 0,7.77E-04,0.019709316,1.08E-04,3.16E-04,6.30E-04,4.72E-05,0.414978769,8.47E-05,8.05E-06,1.16E-04,0.001406955,0.0015211,1.22E-04,5.69E-05,1.71E-04,0.003046366,2.84E-04,5.90E-04,2.23E-04,1.37E-04,0.003631256,0.001601085,0.510424272,0.003540717,6.36E-05,6.39E-06,2.50E-05,2.24E-04,2.92E-05,1.94E-06,7.89E-05,1.07E-04,1.97E-05,5.20E-04,0.026011176,0.003310483,0.001003421,5.58E-04,9.72E-06,0.001155614,0.001241709,3.07E-04,6.37E-04,0.001154225,4.17E-06
ShotgunWGS-ControlPig8GutMicrobiome-Day14,8,Control,Day 14,Control Day 14,6.03E-04,0.024807048,8.81E-05,4.23E-04,3.27E-04,2.33E-05,0.357607436,5.56E-05,9.22E-06,1.40E-04,0.001252761,0.001814184,8.35E-05,6.16E-05,1.52E-04,0.002433106,3.40E-04,5.70E-04,2.90E-04,1.98E-04,0.003208792,0.001363147,0.565313745,0.003781336,4.83E-05,2.98E-06,1.22E-05,2.18E-04,2.90E-05,2.17E-06,3.23E-05,1.39E-04,1.17E-05,3.24E-04,0.025974646,0.002775927,9.81E-04,7.23E-04,1.27E-05,0.00127717,8.29E-04,2.93E-04,4.54E-04,9.03E-04,8.95E-06
ShotgunWGS-TomatoPig11GutMicrobiome-Day0,11,Tomato,Day 0,Tomato Day 0,8.85E-04,0.028385107,1.67E-04,5.71E-04,5.73E-04,5.64E-05,0.319845907,1.06E-04,1.66E-05,2.19E-04,0.001553946,0.002588943,1.87E-04,1.11E-04,2.27E-04,0.004271797,4.93E-04,8.60E-04,3.66E-04,3.20E-04,0.005783049,0.0015755,0.52230818,0.004983901,9.95E-05,4.97E-06,2.69E-05,4.67E-04,2.07E-05,1.66E-06,9.95E-05,2.02E-04,1.16E-05,7.73E-04,0.088021146,0.005048562,0.002006161,9.48E-04,3.11E-05,0.001823783,0.001453638,3.90E-04,6.82E-04,0.001305248,1.25E-04
ShotgunWGS-TomatoPig19GutMicrobiome-Day0,19,Tomato,Day 0,Tomato Day 0,7.17E-04,0.073838944,5.08E-05,4.50E-04,3.88E-04,3.27E-05,0.350311293,6.65E-05,1.32E-05,1.72E-04,0.001217655,0.002041749,1.08E-04,8.28E-05,1.78E-04,0.003585771,3.78E-04,6.80E-04,2.70E-04,2.07E-04,0.004072122,0.001524468,0.510457611,0.004141448,8.18E-05,4.62E-06,1.88E-05,2.70E-04,2.13E-05,2.49E-06,4.69E-05,1.50E-04,1.10E-05,5.89E-04,0.034438123,0.003474849,0.001272049,7.02E-04,2.35E-05,0.001392215,0.001324311,2.87E-04,4.48E-04,4.52E-04,3.56E-06
ShotgunWGS-TomatoPig17GutMicrobiome-Day14,17,Tomato,Day 14,Tomato Day 14,7.10E-04,0.022126318,1.25E-04,5.38E-04,0.001091452,4.42E-05,0.369397391,9.60E-05,9.34E-06,1.42E-04,0.001359006,0.002107309,1.19E-04,8.07E-05,2.06E-04,0.002494626,4.11E-04,6.29E-04,3.04E-04,1.96E-04,0.003542759,0.001457534,0.545985793,0.00410165,4.50E-05,4.25E-06,5.95E-06,2.45E-04,1.61E-05,8.49E-07,7.81E-05,1.40E-04,1.61E-05,3.66E-04,0.03241994,0.003090889,0.001200172,9.72E-04,1.70E-05,0.001369199,8.85E-04,5.86E-04,4.05E-04,8.38E-04,2.46E-05
ShotgunWGS-ControlPig9GutMicrobiome-Day14,9,Control,Day 14,Control Day 14,6.51E-04,0.042915408,4.51E-05,4.10E-04,3.56E-04,2.72E-05,0.326779393,5.66E-05,8.23E-06,1.38E-04,0.001097006,0.001769574,9.13E-05,7.16E-05,1.68E-04,0.002271069,3.95E-04,6.47E-04,2.74E-04,1.81E-04,0.003293761,0.001202492,0.57934242,0.00360623,4.89E-05,2.74E-06,1.15E-05,1.78E-04,1.27E-05,1.25E-06,2.79E-05,1.52E-04,1.30E-05,3.10E-04,0.025577524,0.002871567,0.001040896,6.04E-04,1.62E-05,0.001187779,8.02E-04,3.25E-04,3.11E-04,7.00E-04,1.20E-05
ShotgunWGS-ControlPig10GutMicrobiome-Day14,10,Control,Day 14,Control Day 14,6.82E-04,0.039197813,7.99E-05,4.91E-04,4.10E-04,3.26E-05,0.383049097,7.92E-05,9.27E-06,3.18E-04,0.001390188,0.002163403,1.15E-04,7.92E-05,2.09E-04,0.002461505,3.90E-04,6.91E-04,3.22E-04,2.45E-04,0.004296452,0.001444824,0.51298361,0.004257471,6.04E-05,8.31E-06,2.27E-05,2.62E-04,4.44E-05,9.59E-07,5.24E-05,1.73E-04,1.02E-05,4.03E-04,0.033366435,0.003372109,0.001491153,7.82E-04,1.76E-05,0.001464315,9.86E-04,3.76E-04,4.59E-04,0.001243853,6.39E-06
ShotgunWGS-TomatoPig19GutMicrobiome-Day7,19,Tomato,Day 7,Tomato Day 7,7.22E-04,0.051791117,1.11E-04,5.12E-04,4.28E-04,3.84E-05,0.330901521,9.80E-05,1.52E-05,1.75E-04,0.001355397,0.001985752,1.05E-04,6.36E-05,2.15E-04,0.002700861,4.02E-04,7.36E-04,3.13E-04,2.46E-04,0.004469432,0.001422935,0.553928829,0.00448731,5.10E-05,4.63E-06,1.26E-05,3.24E-04,1.79E-05,1.32E-06,6.89E-05,1.70E-04,1.46E-05,4.30E-04,0.031058249,0.003982098,0.001323614,9.75E-04,1.66E-05,0.001442799,8.99E-04,8.24E-04,4.90E-04,6.61E-04,7.95E-06
ShotgunWGS-ControlPig5GutMicrobiome-Day14,5,Control,Day 14,Control Day 14,7.30E-04,0.071575837,7.21E-05,4.65E-04,4.03E-04,2.98E-05,0.30265556,7.54E-05,7.32E-06,1.64E-04,0.001348267,0.002217644,9.98E-05,7.27E-05,2.35E-04,0.002394177,3.74E-04,7.32E-04,3.19E-04,2.29E-04,0.004285602,0.003863658,0.562388125,0.004339565,5.56E-05,4.88E-06,2.74E-05,3.31E-04,2.17E-05,1.90E-06,4.37E-05,1.44E-04,1.17E-05,4.17E-04,0.029961789,0.003546929,0.001532122,9.30E-04,2.25E-05,0.001440465,9.01E-04,4.66E-04,5.10E-04,5.41E-04,1.08E-05
